page_number,text
11,"2023 Milestones
RTC welcomed five new core staff members!
Nicole Wright, Director of Partner Engagement
Jessica Furness, Director of RTC UK
Victoria Ewing, VP of Business Development
Blessing Adogame, UK Community Development Manager
Sidney Lopez, Member Programs & Leadership Manager
Launched a new website celebrating the unique
paths RTC women take toward their careers in tech
Launched the Tech Natives
community, creating a safe space
for Indigenous and Native women
as they navigate the tech industry
Launched conference
scholarships to help make
Launched the RTC
attendance more accessible
community in the UK,
for our BLNA community
growing from 120
members to over 700
within six months
Launched an enhanced version of our private platform,
teamRTC, for members and partners, with an improved
job board, mentorship module, and direct communication
between recruiters and members
11 rewritingthecode.org • info@rewritingthecode.org"
12,"Programs and Events
RTC Women in Tech Fund
The Women in Tech Fund is a partnership funded by Goldman Sachs that offers financial
support to undergraduate members, helping them overcome urgent financial obstacles.
The fund awards support via an abundance, trust-based approach and has provided over
$515k in financial support to more than 119 RTC members. The fund's impact grows as
more partners join Goldman Sachs' initial philanthropic investment.
RISE with RTC
RTC’s 2023 holistic educational program offered 70 workshops across our 6 main
educational pillars: Recruiting Success, Interest Exploration, Confidence & Self-Care,
Career Acceleration, Tech Trends & Tools, and Financial Literacy. Over 1,400 women in
tech engaged and benefitted from attending these programs live throughout the year,
providing an average of 9/10 feedback scores!
Black Wings Hacks
More than 200 women participated in 12 educational workshops during our annual virtual
hackathon. The hackathon saw 140 hackers develop 26 projects, with 22 teams winning
prizes sponsored by RTC partners. Women who attended the event described feeling
""empowered,"" ""valuable,"" ""powerful,"" and ""seen.""
RTC Rising Leaders Institute
The Rising Leader Institute enlisted 32 community members to strengthen our peer-to-
peer programming and engagement. As a result, Rising Leaders supported programming
efforts across 6 interest groups, contributed to ongoing conversations in our Slack
community, and enhanced engagement opportunities at conferences and virtually during
monthly member hangouts. Leaders also received a full menu of professional development
opportunities to elevate their skills throughout their tenure.
Summer Tech Hubs
RTC women in San Francisco Bay, Silicon Valley, Seattle, and New York City hosted 26
in-person events throughout the summer. Over 600 members attended meet-ups and
company-hosted socials, cultivating community and creating belonging for these interns
and new grads.
12 rewritingthecode.org • info@rewritingthecode.org"
13,"Virtual Career Summit
Over 2,000 women from 450+ colleges and 15+ countries participated in the fourth-annual
VCS and InclYOUsion Day events. Over two-thirds of the attendees attended without any
cost. The events were sponsored by 31 companies directly engaging with emerging talent,
hiring dozens of women in the following months!
Member Surveys
RTC surveys our members to help us best support our members and partners. In 2023,
we ran Recruiting Experience and Internship Experience surveys that help RTC guide
our company partners on best practices for recruiting and retaining women and give our
members the data they need to make the best decisions for their career goals. RTC also
runs monthly Pulse Surveys that have helped us deliver timely feedback to members and
partners.
Immersive Company Experiences
RTC offers immersive company experiences where women visit professional campuses of
company partners, connect with women engineers, and envision themselves adding value
to each company.
The Capital One Leadership Retreat empowered RTC’s Black Wings, Latinas de RTC, and
Tech Natives Leaders to unite over 2 days at Capital One’s McLean, VA headquarters to
engage in strategic planning and learning. Student Leaders participated in educational
workshops hosted by Capital One experts and honed the leadership skills necessary to
lead their respective communities effectively.
The Goldman Sachs x RTC BootCamp Experience consisted of 6 weekly virtual sessions,
culminating in a 2-day on-site experience at the Goldman Sachs NYC Headquarters.
There, participants participated in personal and professional development panels and
worked at the desk with Goldman Sachs engineers.
Conference Scholarships
Attending a professional technology conference remains one of the top goals expressed
by RTC women. Unfortunately, with average conference costs exceeding $1,200 per
person, attending a professional conference is often out-of-reach. RTC was proud to
support over 80 members attending 7 of the top professional tech conferences. Support
for lodging, travel, meals, and registration fees valued at $55,000 was awarded to
members in 2023.
13 rewritingthecode.org • info@rewritingthecode.org"
14,"Partners
Our partners make our impact possible.
We are grateful for their generous support.
Platinum Sponsors
Gold Sponsors
Silver Sponsors
Bronze Sponsors
* Outline indicates new partnerships in 2023
14 rewritingthecode.org • info@rewritingthecode.org"
15,"Partner Spotlight
In our journey toward fostering a diverse and
inclusive workforce, Capital One's partnership
with Rewriting the Code (RTC) stands as
a testament to our commitment to social
responsibility, creating a workforce that reflects
the rich tapestry of our communities and
driving innovations from diverse perspectives.
At Capital One, we understand that a diverse
talent pool is essential for creating transformative
solutions that meet the evolving needs of our
customers. Our partnership with RTC has been
instrumental in enabling us to connect with a host of highly
skilled and motivated individuals passionate about careers in
technology.
Through tailored sponsorship opportunities and events, we've engaged with RTC candidates,
fostering meaningful relationships and providing them with exclusive insights into our culture
and opportunities. These relationships resulted in nearly 35 RTC participants joining Capital One
as interns and full-time associates. Our support extends beyond recruitment. It encompasses
empowering RTC students through programs like Black Wings Hacks, RTC Leadership Planning
Retreat, IncluYOUsion Day and Kickback and the RTC Virtual Career Summit. By investing in
these personal connections, we gain invaluable insights into the future workforce while fortifying
our ability to retain exceptional women in tech. Together with RTC, we're driving meaningful
change and shaping a more inclusive future for the tech industry.
Our partnership with RTC aligns seamlessly with our commitment to social impact and diversity.
Together, we're not only shaping the future of the tech industry but also fostering an environment
where every voice is valued and every talent is nurtured.”
— Chiara Barden - Program Lead for Students and
Grads National Partnerships for Capital One
15 rewritingthecode.org • info@rewritingthecode.org"
16,"Our Vision
for 2024
Heading into 2024, Rewriting the Code (RTC) is set to significantly scale our impact,
building on seven years of dedication to enhancing the experiences of young women in
technology. Our strategy encompasses:
• Broadening Membership: We're extending our reach to support women technologists
in the first six years of their careers, recognizing the critical early stages of
professional development.
• Global Expansion: After our successful launch in the UK and Ireland, we're leveraging
our insights to support our members internationally.
• Data Insights and Sharing: By analyzing and sharing member and company data, we
aim to provide deeper insights into trends, challenges, and opportunities in the tech
landscape.
• Diverse Industry Partnerships: We're expanding our collaborations across sectors
like healthcare, mobility, and entertainment, enriching our members' exploration and
opportunities.
• Deepening Equity Work: Our initiatives now include ESG, CSR, and philanthropy
efforts within partner companies, aligning with our mission to foster equity in tech.
With over 24,000 members from 110 countries, RTC is a trusted partner in women's career
journeys in tech. Our work is supported by a network of tech companies, educational
institutions, and organizations committed to dismantling gender inequality in the tech
ecosystem.
Launching our UK community and expanding partnerships signify our commitment to
creating opportunities and fostering a supportive environment for women in tech globally.
Our focus on sharing data insights and highlighting successful case studies aims to inform
and inspire our community and partners.
Looking ahead, we're poised to grow our community to 30,000 members by the end
of 2024. Our initiatives, from mentorship to the Women in Tech Fund, are designed to
support women at various stages of their tech journey, addressing the critical need for
increased representation and retention in the field.
As we embark on this ambitious path, we invite our members, partners, and the broader
community to join us in our commitment to equity in technology. Together, we can create
a more inclusive and diverse tech industry.
16 rewritingthecode.org • info@rewritingthecode.org"
17,"Core Staff
Jade Barricelli Kristin Austin, Ed.D. Erica Crutch Victoria Ewing
SVP, Community + VP of Inclusion, Diversity, VP of Partner Engagement VP of Business
Partner Programs Equity + Access Development
Sammi Hermanski Lucille Tasker Christy Augsburger Nicole Wright
Director of Member Sr. Director of Data Sr. Director of Marketing Director of Partner
Programs + Events + Technology Engagement
Jessica Furness Blessing Adogame Jessica Sherwood Angela Smith
Director of RTC UK RTC UK Community Sr. Executive Assistant Sr. Information Technology
Development Manager Manager
Jasmine Lunceford Sidney Lopez
Social Media + Member Programs &
Community Specialist Leadership Manager
17 rewritingthecode.org • info@rewritingthecode.org"
18,"2023 - 2024
Board of Directors
Roz Francuz-Harris Tracy Doaks
Vice President of Talent Acquisition, President and Chief Executive Officer,
Zillow MCNC
Dr. Leah D. Houde Marykay Wells
U.S. Chief Learning Officer, Chief Information Officer,
PwC Pearson
Peter Lange Anais Lawson
Provost Emeritus and Professor, RTC Student Member
Duke University
Owen Astrachan Alice Wang
Professor of Computer Science, RTC Student Member
Duke University
Myra Gupta Sue Harnett
Forward Deployed Engineer, Founder & President,
Palantir Rewriting The Code
Robert (Rob) Fuentes Jade Barricelli
Managing Director, CDIO Group Senior Vice-President, Community &
Functions, Eng Lead HR, Comms & Partner Programs, Rewriting The Code
Branding, Legal & Corporate Services
UBS
18 rewritingthecode.org • info@rewritingthecode.org"
19,"Student Leadership
2023-2024 RTC Black Wings Leaders
Grace Coleman Layke Jones Ibukunoluwa Adeloye Leesel Fraser
University of North Carolina North Carolina A&T Howard University The City University of
At Chapel Hill State University New York
19 rewritingthecode.org • info@rewritingthecode.org"
20,"Student Leadership
2023-2024 Latinas de RTC Leaders
Nara Valera-Simeon Hailey Garcia Suli Caceres Ranilla
University of North Carolina University of California, Columbia University
Berkeley
Christina Valtierra
University of Texas at El
Paso
20 rewritingthecode.org • info@rewritingthecode.org"
21,"Student Leadership
2023-2024 RTC Tech Natives
Kyra Kaya Madeline Gupta
Yale University Yale University
21 rewritingthecode.org • info@rewritingthecode.org"
22,"Help Us
Right the Ratio
Become a Member Partner with Rewriting the Code Donate
22 rewritingthecode.org • info@rewritingthecode.org"
